rack_num,lat_DD,lon_DD,description,num_spots,date_last_confirmed,style,image_link
1,30.60364959,-96.35407412,IODP,20,1/11/2023,regular rack,https://drive.google.com/uc?id=12u6nk4JBQHs769eSeKBXPzv7obD1l1Am
2,30.60443965,-96.35128104,HCRB,10,1/11/2023,regular rack,https://drive.google.com/uc?id=1mrMVgavnJyOkl_5S7zWhipW83ofLG9ms
3,30.60463842,-96.34901015,PEAP,10,1/11/2023,regular rack,
4,30.60519026,-96.34742172,Reed,50,1/11/2023,regular rack,
5,30.60502293,-96.34727488,Reed,50,1/11/2023,regular rack,
6,30.60215174,-96.34653724,Penberthy 1,16,1/11/2023,regular rack,https://drive.google.com/uc?id=1BBCSm15FKYwHo-tfRPAxoG2a1dpao9tD
7,30.61236385,-96.31831568,H-E-B Texas,10,1/11/2023,regular rack,https://drive.google.com/uc?id=1FSn-FXxVcDd4jwY9beVv5RwiAlOA06IK
8,30.62013998,-96.34372786,Shell,NA,1/11/2023,good pole(s),
9,30.59340777,-96.33678765,John Crompton Park,6,1/12/2023,regular rack,https://drive.google.com/uc?id=1PQ8UCgp8muKp9x753HRIUA0Y_mxGV4uF
10,30.61824448,-96.34522736,Post Office Houston St,16,1/12/2023,regular rack,https://drive.google.com/uc?id=13EhpjrDfpx6nEtuVvtGAPbQxCcGtCeml
11,30.61674885,-96.34745503,Good Bull Icehouse,10,1/12/2023,regular rack,https://drive.google.com/uc?id=1Nj5ujMvcRVVTq4x9RabiOqHhFhc-evnl
12,30.60081214,-96.34595633,Penberthy Rec Complex,16,1/12/2023,regular rack,https://drive.google.com/uc?id=18YaEEGtvorxDC5arAwKUaKOwlBspgGKa
13,30.61158401,-96.31661036,Star Nail Spa,4,8/1/2022,regular rack,https://drive.google.com/uc?id=1BDkzV5tkz7pgF0EChAdnfmHtPPPj3uDU
14,30.62288573,-96.32821647,Torchy's,4,7/1/2022,regular rack,https://drive.google.com/uc?id=1nW8Kt6wyGleCx3IvGiemRYidNjQ6yv5M
15,30.62560901,-96.3298045,Best Buy,10,8/1/2022,regular rack,https://drive.google.com/uc?id=1_zZFlp7XoRd3EvP1byC4KEgwHoAXHAUO
16,30.62635486,-96.33069588,Office Depot,10,8/1/2022,regular rack,https://drive.google.com/uc?id=1IgoZppuA7XbDfSwFRn5oFVvUOuPeBzTP
17,30.62653921,-96.3309569,Barnes & Noble,10,8/1/2022,regular rack,https://drive.google.com/uc?id=1atir74FY_8bauAJTutVE-U02u0IfZytT
18,30.60145817,-96.30447387,Aggieland Cycling,15,8/1/2022,regular rack,https://drive.google.com/uc?id=1kovPDwYS1hyASwrGKl_ZtVEf550gI8uP
19,30.59745049,-96.3013195,Walmart,6,8/1/2022,regular rack,https://drive.google.com/uc?id=1FnopSHeXkiJPYVtwvJHdzJYOSSVuVHra
20,30.5820066,-96.28634992,Kroger Rock Prairie,6,8/1/2022,regular rack,https://drive.google.com/uc?id=19oAi7VFIBaYGmFRLQszHJiushn3AkpQv
21,30.5991756,-96.32388558,Gabbard Park,6,8/1/2022,regular rack,https://drive.google.com/uc?id=1SEpRrc94SBMmPllBiRAuPF2zogRaEQ0c
22,30.59923988,-96.33095572,Lincoln Center,4,8/1/2022,regular rack,https://drive.google.com/uc?id=15ea12h9uoooi4MC8eNZpOtxT4-fABTYS
23,30.55955161,-96.26130782,H-E-B Tower Point,10,6/1/2018,regular rack,https://drive.google.com/uc?id=17l4vm25dGSu0z0wa6KvAd7nq-f3Bg3h1
24,30.63522774,-96.32819525,Unknown Tarrow Building,4,7/1/2022,regular rack,https://drive.google.com/uc?id=1dApiGC1cEyd4oAYnHQozUUz0IDTe_kiN
25,30.63379395,-96.32595149,Blue Baker University Ave,8,7/1/2022,regular rack,https://drive.google.com/uc?id=10wvM4JWk5_vxmD8Y4e4-UJSid1anEM-P
