Expedition,Site,Hole,Special Hole Type,Location,Latitude (DD),Longitude (DD),Water Depth (m below rigfloor),Total Penetration (m),Basement Penetration (m),Number Casing Strings,Casing 1 Size (inches; outer diameter),Casing 1 Bottom Depth (m below seafloor),Casing 2 Size (inches; outer diameter),Casing 2 Bottom Depth (m below seafloor),Casing 3 Size (inches; outer diameter),Casing 3 Bottom Depth (m below seafloor),Program,Comment
15,146,A,Reentry cone,Caribbean Sea,15.1165,-69.37783333,3949,105,24,1,13.375,50,,,,,DSDP,First operational re-entry - Lacks second casing string
34,319,A,Reentry cone,East Pacific Rise - E flank,-13.01733333,-101.5243333,4296,157,59,1,13.375,66,,,,,DSDP,Lacks second casing string; bad hole conditions in basement
34,320,B,Reentry cone,Peru Basin,-9.006666667,-83.53333333,4487,183,29,1,13.375,65,,,,,DSDP,Lacks second casing string; bad hole conditions in basement
37,332,B,Reentry cone,Mid-Atlantic Ridge - W flank,36.87933333,-33.64283333,1851,437.5,,1,13.375,68,,,,,DSDP,
37,333,A,Reentry cone,Mid-Atlantic Ridge - W flank,36.84083333,-33.6675,1682,529,311,1,13.375,70,,,,,DSDP,Lost BHA at 488 mbsf; DIANAUT reentry 1990
45,395,A,Reentry cone,Mid-Atlantic Ridge - W flank,22.75583333,-46.08166667,4494,664,572,2,16,62,11.75,112,,,DSDP,First time setting a reentry cone and casing to basement on deep-sea floor.Hole packed with mud; left open.
46,396,B,Reentry cone,Mid-Atlantic Ridge - E flank,22.98566667,-43.515,4465,405.5,254,2,16,120,11.75,163.1,,,DSDP,Logged and left open. Wireline reentry: FARE 1998; SISMOBS seismometer tests 1992.
47,398,D,Reentry cone,Galicia Bank,40.96,-10.71833333,3900,1740,0,1,16,80,,,,,DSDP,Hole filled with sediments
50,415,A,Reentry cone,off Morocco,31.0275,-11.66616667,2817,1080,0,2,16,68,11.75,311,,,DSDP,Bad hole conditions; filled with cavings/mud
50,416,A,Reentry cone,off Morocco,32.83633333,-10.801,4203,1624,0,1,16,40,,,,,DSDP,Lacks second casing string; bad hole conditions
51,417,C,Reentry cone,S Bermuda Rise,25.10933333,-68.04383333,5489,23,0,1,16,23,,,,,DSDP,Lost BHA in hole while running casing
51,417,D,Reentry cone,S Bermuda Rise,25.1115,-68.047,5489,532,366,1,16,26,,,,,DSDP,Only one casing string
52,418,A,Reentry cone,S Bermuda Rise,25.03466667,-68.0575,5519,570,544,1,16,74,,,,,DSDP,Cone plugged with mud - Verify
55,433,C,Reentry cone,Suiko Seamount,44.77716667,170.0205,1874,550,388,1,16,39.3,,,,,DSDP,Lacks second casing string
58,442,B,Reentry cone,Shikoku Basin,28.98333333,136.05,4634,455,165,1,16,65.5,,,,,DSDP,Lacks second casing string; bad hole conditions
61,462,A,Reentry cone,Nauru Basin,7.083333333,165.0333333,5177,1068,452,1,16,74.5,,,,,DSDP,Lacks second casing string; basement = sill/sediment sequence
69,504,A,Reentry cone,Costa Rica Rift,1.233333333,-83.73333333,3458,277,12,1,16,89.7,,,,,DSDP,Lacks second casing string; abandoned when 14 in bit cone lost
69,504,B,Reentry cone,Costa Rica Rift - S flank,1.233333333,-83.73333333,3460,489,226,2,16,91,11.75,276,,,DSDP,Total penetration at end of Leg 69 = 501 meters. Hole 504B also visited Legs 70; 83; 92; 111; 137; 140;and 148 - Total penetration: 2111 mbsf
76,534,A,Reentry cone,East of Blake Escarpment,28.35,-75.38333333,4971,1666,32,2,16,86,11.75,533,,,DSDP,Wireline reentry: LFASE; 1989; DIANAUT; 1990
78,395,A,Reentry cone,Mid-Atlantic Ridge - W flank,22.75,-46.08333333,4483,,572,2,16,62,11.75,112,,,DSDP,Reoccupied for the purpose of downhole geophysical experiments; including downhole seismometer.Left open.
91,595,B,Reentry cone,SW Pacific,-23.81666667,-165.5333333,5615,124,54,2,16,34,11.75,74,,,DSDP,Ngendei experiment; 1983; stinger left in hole
92,597,C,Reentry cone,East Pacific Rise - W flank,-18.8,-129.7666667,4164,144,91,1,16,40,,,,,DSDP,Lacks second casing string; good hole in fastest-spread crust
103,638,C,Reentry cone,Galicia margin,42.15,-12.2,4673,547,0,1,16,40,,,,,ODP,Lacks second casing string
104,642,E,Reentry cone,Norwegian margin,67.21666667,-2.933333333,1278,1229,917,2,16,51,11.75,369,,,ODP,Top of cone at seafloor; basement = sill/sediment sequence
105,645,E,Reentry cone,Baffin Bay,70.45,-64.65,2008,1147,0,1,16,21,,,,,ODP,Lacks second casing string; sediment bridges in open hole
106,648,B,Reentry cone,Mid-Atlantic Ridge axis,22.91666667,-44.95,3333,33,50,1,16,19,,,,,ODP,Hard Rock Guide Base.
109,395,A,Reentry cone,Mid-Atlantic Ridge - W flank,22.75,-45.08333333,4490,664,572,2,16,62,11.75,112,,,ODP,Reoccupied for the purpose of downhole geophysical experiments; especially temperature; insitu porosity and permeability; and resistivity
118,735,B,Reentry cone,Atlantis II Fracture Zone,-32.71666667,57.26666667,720,501,501,0,,,,,,,ODP,Hard Rock Guide Base
123,765,D,Reentry cone,Argo Abyssal Plain,-15.98333333,117.5833333,5714,1195,271,2,16,90.5,11.75,933,,,ODP,"Double ""J"" casing system with two nested casing strings extending to 933.0 mbsf (11 3/4"" casing) 4th longest DSDP/ODP casing"
126,793,B,Reentry cone,Bonin Arc-Trench System,31.1,140.8833333,2965,1682,,2,16,20,11.75,562.7,,,ODP,"Double ""J"" casing system with two nested casing strings extending to 562.66 mbsf (11 3/4"" casing)"
127,794,C,Reentry cone,Japan Sea,40.18333333,138.2333333,2809,654,,2,16,90,11.75,372,,,ODP,"Double ""J"" casing system with two nested casing strings extending to 374 mbsf (11 3/4"" casing) - Pipe severed in hole - Not suitable for reentry"
127,797,C,Reentry cone,Japan Sea,38.61666667,134.5333333,2865,900,,1,16,90,,,,,ODP,"Double ""J"" casing system with one 16"" casing string - Pipe twisted off in hole - Not suitable for reentry"
128,794,D,Reentry cone,Japan Sea,40.18333333,138.2333333,2807,734,192,2,16,59,11.75,560,,,ODP,"Double ""J"" casing system with two nested casing strings extending to 560.0 mbsf (11 3/4"" casing) - New style reentry cone used for the first time - Broadband seismometer experiment 1989; still in hole"
128,799,B,Reentry cone,Japan Sea,39.21666667,133.8666667,2084,1084,,2,16,69.9,11.75,439.6,,,ODP,"Double ""J"" casing system with two nested casing strings extending to 439.6 mbsf (11 3/4"" casing) - New style reentry cone used for the second time"
129,801,C,Reentry cone,West Pacific Jurassic,18.65,156.3666667,5674,594,477,2,16,51,11.75,481,,,ODP,"Double ""J"" casing system with two nested casing strings extending to 481.0 mbsf (11-3/4"" casing - Oldest sampled oceanic crust; Leg 185: 7.4 m DCB coring to TD with 7-1/2 in diameter"
130,807,C,Reentry cone,Ontong Java Plateau,3.6,156.6333333,2806,1528,148,2,16,57.7,11.75,350.2,,,ODP,"Double ""J"" casing system with two nested casing strings extending t 350.2 mbsf (11-3/4"") - Two bit cones lost in hole"
131,808,D,Reentry cone,Nankai Trough,32.35,134.95,4673,780,0,2,16,31,,0,,,ODP,741 m 11-3/4 in casing lost on deployment; partly on sea floor - Hole not suitable for reentry
131,808,E,Reentry cone,Nankai Trough,32.35,134.95,4673,1200,0,2,16,31,11.75,521,,,ODP,Bad hole conditions below casing; ONDO experiment lost in hole
132,809,F,Reentry cone,Sumisu Rift,31.05,139.8833333,1802,79,79,0,,,,,,,ODP,Mini-HRGB; slim hole cored with DCS
