date,exp,lat_DD,lon_DD,status,site
6/14/2022,393,-32.2193,2.805,transit,
6/13/2022,393,-32.7675,7.8657,transit,
6/12/2022,393,-33.2166,12.0406,transit,
6/11/2022,393,-33.6783,16.3483,transit,
6/10/2022,393,-33.9161,18.439,port,
6/9/2022,393,-33.9161,18.439,port,
6/8/2022,393,-33.9161,18.439,port,
6/7/2022,393,-33.9161,18.439,port,
6/6/2022,390,-33.9161,18.439,port,
6/5/2022,390,-33.9161,18.439,port,
6/4/2022,390,-33.9161,18.439,port,
6/3/2022,390,-33.9161,18.439,port,
6/2/2022,390,-33.9161,18.439,port,
6/1/2022,390,-33.9161,18.439,port,
5/31/2022,390,-33.9161,18.439,port,
5/30/2022,390,-33.5523,17.2595,transit,
5/29/2022,390,-33.1725,13.3432,transit,
5/28/2022,390,-32.7717,9.4988,transit,
5/27/2022,390,-33.3676,5.4328,transit,
5/26/2022,390,-31.9616,1.3485,transit,
5/25/2022,390,-31.4632,-3.7335,transit,
5/24/2022,390,-30.9111,-8.7692,transit,
5/23/2022,390,-30.349,-14.1982,transit,
5/22/2022,390,-30.2609,-15.0348,on site,U1559
5/21/2022,390,-30.2608,-15.0349,on site,U1559
5/20/2022,390,-30.4803,-18.8009,transit,
5/19/2022,390,-30.7537,-23.3122,transit,
5/18/2022,390,-30.9411,-26.6298,on site,U1557
5/17/2022,390,-30.9411,-26.6298,on site,U1557
5/16/2022,390,-30.9411,-26.6298,on site,U1557
5/15/2022,390,-30.9411,-26.6298,on site,U1557
5/14/2022,390,-30.9411,-26.6298,on site,U1557
5/13/2022,390,-30.9411,-26.6298,on site,U1557
5/12/2022,390,-30.9411,-26.6298,on site,U1557
5/11/2022,390,-30.9411,-26.6298,on site,U1557
5/10/2022,390,-30.9427,-26.6991,on site,U1556
5/9/2022,390,-30.9424,-26.6991,on site,U1556
5/8/2022,390,-30.9424,-26.6991,on site,U1556
5/7/2022,390,-30.9424,-26.6991,on site,U1556
5/6/2022,390,-30.9421,-26.6991,on site,U1556
5/5/2022,390,-30.9421,-26.6991,on site,U1556
5/4/2022,390,-30.9421,-26.6991,on site,U1556
5/3/2022,390,-30.9421,-26.6991,on site,U1556
5/2/2022,390,-30.9421,-26.6991,on site,U1556
5/1/2022,390,-30.9421,-26.6991,on site,U1556
4/30/2022,390,-30.9421,-26.6991,on site,U1556
4/29/2022,390,-30.9421,-26.6991,on site,U1556
4/28/2022,390,-30.9421,-26.6991,on site,U1556
4/27/2022,390,-30.9421,-26.6991,on site,U1556
4/26/2022,390,-30.9421,-26.6991,on site,U1556
4/25/2022,390,-30.9421,-26.6991,on site,U1556
4/24/2022,390,-30.9421,-26.6991,on site,U1556
4/23/2022,390,-30.9421,-26.6991,on site,U1556
4/22/2022,390,-30.9421,-26.6991,on site,U1556
4/21/2022,390,-30.9421,-26.6991,on site,U1556
4/20/2022,390,-30.9421,-26.6991,on site,U1556
4/19/2022,390,-31.2864,-21.6425,transit,
4/18/2022,390,-31.6054,-16.8551,transit,
4/17/2022,390,-31.9406,-11.9618,transit,
4/16/2022,390,-32.3234,-6.2877,transit,
4/15/2022,390,-32.69666,-0.7333,transit,
4/14/2022,390,-33.06666667,4.761666667,transit,
4/13/2022,390,-33.41216667,9.980333333,transit,
4/12/2022,390,-33.76051667,15.32266667,transit,
4/11/2022,390,-33.9163,18.43926667,port,
4/10/2022,390,-33.9163,18.43926667,port,
4/9/2022,390,-33.9163,18.43926667,port,
4/8/2022,390,-33.91628333,18.43925,port,
4/7/2022,390,-33.91628333,18.43925,port,
4/6/2022,392,-33.87096667,18.45568333,transit,
4/5/2022,392,-33.87096667,18.45568333,transit,
4/4/2022,392,-34.99,19.2,transit,
4/3/2022,392,-36.26766667,22.82283333,transit,
4/2/2022,392,-37.025005,24.99519,on site,U1582
4/1/2022,392,-37.02500167,24.99518833,on site,U1582
3/31/2022,392,-36.95845,22.22395,transit,
3/30/2022,392,-35.815,21.02783333,transit,
3/29/2022,392,-35.275,23.78333333,transit,
3/28/2022,392,-37.02500333,24.99528,on site,U1582
3/27/2022,392,-37.02500167,24.9953,on site,U1582
3/26/2022,392,-36.16733333,27.96916667,transit,
3/25/2022,392,-35.6811,29.65032,on site,U1581
3/24/2022,392,-35.6811,29.65032,on site,U1581
3/23/2022,392,-35.6811,29.65032,on site,U1581
3/22/2022,392,-35.6811,29.65032,on site,U1581
3/21/2022,392,-35.6811,29.65032,on site,U1581
3/20/2022,392,-35.6811,29.65032,on site,U1581
3/19/2022,392,-35.6811,29.65032,on site,U1581
3/18/2022,392,-35.6811,29.65032,on site,U1581
3/17/2022,392,-35.6811,29.65032,on site,U1581
3/16/2022,392,-35.68143333,29.65,on site,U1581
3/15/2022,392,-34.65166667,27.44416667,transit,
3/14/2022,392,-34.565,27.01466667,transit,
3/13/2022,392,-35.68109,29.65009167,on site,U1581
3/12/2022,392,-35.68109,29.65009167,on site,U1581
3/11/2022,392,-35.68109,29.65009167,on site,U1581
3/10/2022,392,-35.68109,29.65009167,on site,U1581
3/9/2022,392,-35.6811,29.6501,on site,U1581
3/8/2022,392,-39.34233333,27.489,transit,
3/7/2022,392,-40.78590333,26.60713667,on site,U1580
3/6/2022,392,-40.78589167,26.606895,on site,U1580
3/5/2022,392,-40.78589167,26.606895,on site,U1580
3/4/2022,392,-40.78589167,26.606895,on site,U1580
3/3/2022,392,-40.78589167,26.606895,on site,U1580
3/2/2022,392,-40.78589167,26.606895,on site,U1580
3/1/2022,392,-40.78589167,26.606895,on site,U1580
2/28/2022,392,-40.78589167,26.606895,on site,U1580
2/27/2022,392,-40.78589167,26.606895,on site,U1580
2/26/2022,392,-40.78589167,26.606895,on site,U1580
2/25/2022,392,-40.78589167,26.606895,on site,U1580
2/24/2022,392,-39.95120833,26.23632167,on site,U1579
2/23/2022,392,-39.95120833,26.23632167,on site,U1579
2/22/2022,392,-39.95120833,26.23632167,on site,U1579
2/21/2022,392,-39.95120833,26.23632167,on site,U1579
2/20/2022,392,-39.95120833,26.23632167,on site,U1579
2/19/2022,392,-39.95120833,26.23632167,on site,U1579
2/18/2022,392,-39.95120833,26.23632167,on site,U1579
2/17/2022,392,-39.95120833,26.23632167,on site,U1579
2/16/2022,392,-39.95098,26.23630833,on site,U1579
2/15/2022,392,-39.95098,26.23630833,on site,U1579
2/14/2022,392,-39.95094167,26.236215,on site,U1579
2/13/2022,392,-39.95085333,26.23582833,on site,U1579
2/12/2022,392,-39.95085333,26.23582833,on site,U1579
2/11/2022,392,-38.30955,23.69666667,transit,
2/10/2022,392,-35.34125,19.25076667,transit,
2/9/2022,392,-33.9162,18.43888333,port,
2/8/2022,392,-33.9162,18.43888333,port,
2/7/2022,392,-33.9162,18.43888333,port,
2/6/2022,392,-33.9162,18.43888333,port,
2/5/2022,392,-33.9162,18.43888333,port,
2/4/2022,391,-33.59963333,17.32231667,transit,
2/3/2022,391,-33.29428333,12.91268333,transit,
2/2/2022,391,-32.911395,7.571341667,transit,
2/1/2022,391,-32.53863,2.22752,transit,
1/31/2022,391,-32.32806,-0.643126667,on site,
1/30/2022,391,-32.32806,-0.643126667,on site,
1/29/2022,391,-32.32806,-0.643126667,on site,
1/28/2022,391,-32.32806,-0.643126667,on site,
1/27/2022,391,-32.32806,-0.643126667,on site,
1/26/2022,391,-32.32806,-0.643126667,on site,
1/25/2022,391,-32.32806,-0.643126667,on site,
1/24/2022,391,-32.32806,-0.643126667,on site,
1/23/2022,391,-32.32806,-0.643126667,on site,
1/22/2022,391,-32.32805833,-0.643115,on site,
1/21/2022,391,-31.49266667,0.337333333,transit,
1/20/2022,391,-28.37616667,3.940833333,transit,
1/19/2022,391,-25.31675,7.3695,transit,
1/18/2022,391,-25.20239833,7.4969,on site,
1/17/2022,391,-25.20239833,7.4969,on site,
1/16/2022,391,-25.20239833,7.4969,on site,
1/15/2022,391,-25.20239833,7.4969,on site,
1/14/2022,391,-24.815,5.978333333,transit,
1/13/2022,391,-24.596185,5.125855,on site,
1/12/2022,391,-24.596185,5.125855,on site,
1/11/2022,391,-24.596185,5.125855,on site,
1/10/2022,391,-24.59586667,5.121938333,on site,
1/9/2022,391,-24.59586667,5.121938333,on site,
1/8/2022,391,-24.59588167,5.121918333,on site,
1/7/2022,391,-23.33333333,5.805,transit,
1/6/2022,391,-21.86609833,6.590615,on site,
1/5/2022,391,-21.86609833,6.590615,on site,
1/4/2022,391,-21.86609833,6.590615,on site,
1/3/2022,391,-21.86609833,6.590615,on site,
1/2/2022,391,-21.86609833,6.590615,on site,
1/1/2022,391,-21.8661,6.5906,on site,
12/31/2021,391,-25.18133333,9.557166667,transit,
12/30/2021,391,-29.01716667,13.07766667,transit,
12/29/2021,391,-32.76,16.65666667,transit,
12/28/2021,391,-33.91666667,18.44333333,port,
12/27/2021,391,-33.91666667,18.44333333,port,
12/26/2021,391,-33.91666667,18.44333333,port,
12/25/2021,391,-33.91666667,18.44333333,port,
12/24/2021,391,-33.91666667,18.44333333,port,
12/23/2021,391,-33.91666667,18.44333333,port,
12/22/2021,391,-33.91666667,18.44333333,port,
12/21/2021,391,-33.91666667,18.44333333,port,
12/20/2021,391,-33.91666667,18.44333333,port,
12/19/2021,391,-33.63,17.725,transit,
12/18/2021,391,-33.41666667,14.255,transit,
12/17/2021,391,-33.21166667,10.575,transit,
12/16/2021,391,-32.855,6.166666667,transit,
12/15/2021,391,-32.44833333,1.09,transit,
12/14/2021,391,-32.28533333,1.391666667,transit,
12/13/2021,391,-32.72333333,6.825,transit,
12/12/2021,391,-33.13833333,12.0835,transit,
12/11/2021,391,-33.54166667,17.245,transit,
12/10/2021,391,-33.91666667,18.43983333,port,
12/9/2021,391,-33.91666667,18.43983333,port,
12/8/2021,391,-33.91666667,18.43983333,port,
12/7/2021,391,-33.91666667,18.43983333,port,
12/6/2021,391,-33.91666667,18.43983333,port,
