Expedition,Science program,Start date,Start port city,Start port country,End date,End port city,End port country,Total (days),In port (days),In transit (days),On site (days),Off site (days),"Coring, drilling, tripping (days)",Logging & downhole tools (days),"Reentry, casing, cementing (days)",Remedial action (days),"Engineering, completion, CORK (days)","Lost time [weather, repairs] (days)",Other (days),Sites,Holes,Cores,Distance traveled (nmi),Average transit speed (kn),Total penetration (m),Interval drilled (m),Interval cored (m),Core recovered (m),Recovery (%),Maximum water depth (m),Minimum water depth (m),Seafloor camera deployments,Reentries
100,Shakedown - Northeastern Gulf of Mexico,11-Jan-85,Pasgagoula,USA,29-Jan-85,Miami,USA,17.9,0,6.2,11.7,,0,,,,,,,1,3,37,831,,514.6,237.1,277.5,264.4,95.3,889,,,
101,The Bahamas,29-Jan-85,Miami,USA,14-Mar-85,Miami,USA,43.8,2.2,5.3,36.3,,28,2.2,,,,0,6.1,11,19,319,853,11,3568.6,640.7,2927.9,1438.9,49.1,3581,,,
102,The Bermuda Rise,14-Mar-85,Miami,USA,25-Apr-85,Ponta Delgada,Azores,42.1,9.1,13.7,19.3,,0,,,,,,,1,0,0,3948,,0,0,0,,,5505,,,
103,The Galicia Margin,25-Apr-85,Ponta Delgada,Azores,19-Jun-85,Bremerhaven,Germany,55.2,0.4,8,46.8,,35.79,3.92,,,,0,7.09,5,14,157,1741,11.3,2996.5,1492,1504.5,616,40.9,5321,,,
104,The Norwegian Sea,19-Jun-85,Bremerhaven,Germany,23-Aug-85,St. John's,Canada,65.06,8.39,13.88,42.79,,32.26,2.61,,,,0,8.1,3,8,291,3688,11,2936.5,513.7,2422.8,1707.2,70.5,2780,,,
105,Baffin Bay and The Labrador Sea,23-Aug-85,St. John's,Canada,27-Oct-85,St. John's,Canada,64.6,5.5,13.6,45.5,,37.51,2.4,,,,0.13,5.46,3,11,316,2746,10.5,3689.5,723.1,2966.4,1884.8,63.5,3871,,,
106,The Mid-Atlantic Ridge,27-Oct-85,St. John's,Canada,26-Dec-85,Malaga,Spain,60.51,6.13,13.09,41.29,,22.65,0,,,,4.24,14.32,2,12,17,3865,12.4,101.7,0,109.2,13.6,12.5,3530,,,
107,The Tyrrhenian Sea,26-Dec-85,Malaga,Spain,18-Feb-86,Marseille,France,53.49,4.01,6.28,43.2,,35.89,3.39,,,,0,3.92,7,11,353,1503,11.8,3631.8,342.6,3289.2,1843.9,56.1,3597,,,
108,The Eastern Tropical Atlantic,18-Feb-86,Marseille,France,17-Apr-86,Dakar,Senegal,58,3.47,18.8,35.73,,31.86,2,,,,0,1.87,12,27,461,5607,12.7,4457.4,213.6,4243.8,3842.5,90.5,4746,,,
109,The Mid-Atlantic Ridge,17-Apr-86,Dakar,Senegal,19-Jun-86,Bridgetown,Barbados,63.81,6.47,9.54,47.8,,22.38,6.14,,,,0,19.27,4,5,25,2732,11.7,231,44.9,186.1,22.3,12,4490.2,,,
110,The Northern Barbados Ridge,19-Jun-86,Bridgetown,Barbados,16-Aug-86,Bridgetown,Barbados,57.3,6.6,2.6,48.1,,39.6,4.3,,,,0,4.2,6,10,259,401,5.6,3683.6,1269.1,2414.5,1899.2,78.7,5070,,,
111,Costa Rica Rift,16-Aug-86,Bridgetown,Barbados,20-Oct-86,Callao,Peru,65.1,6.3,10.6,48.2,,21,8.9,,,,0,18.23,3,5,79,2705,11,784.2,143.3,640.9,428.1,66.8,3474,,,
112,Peru Continental Margin,20-Oct-86,Callao,Peru,25-Dec-86,Valparaiso,Chile,66,11.6,9.6,44.8,,39.2,1.9,,,,0,3.7,10,27,514,2243,9.4,6763.1,2043.3,4719.8,2664.1,56.4,5093,,,
113,Weddel Sea,25-Dec-86,Valparaiso,Chile,11-Mar-87,East Cove,Falkland Islands/Islas Malvinas,74.92,5.13,25.92,43.87,,37.14,1.11,,,,2.57,5.61,9,22,386,6432,10.2,4044.2,639.4,3404.8,1943.6,57.1,4667,,,
114,Subantarctic South Atlantic,11-Mar-87,East Cove,Falkland Islands/Islas Malvinas,13-May-87,Port Louis,Mauritius,64,4.12,20.82,39.06,,29.77,3.52,,,,1.48,4.29,7,12,392,5916,11.7,3672.1,87,3585.1,2300.1,64.2,4647,,,
115,Mascarene Plateau,13-May-87,Port Louis,Mauritius,2-Jul-87,Colombo,Sri Lanka,49.6,6.6,12.8,30.2,,26.67,1.8,,,,0,1.8,12,22,426,3208,10.4,4182.9,228.5,3954.4,3078.6,77.9,4440,,,
116,Distal Bengal Fan,2-Jul-87,Colombo,Sri Lanka,19-Aug-87,Colombo,Sri Lanka,48.1,5.44,3.61,39.05,,28.37,5.54,,,,0,5.14,3,10,248,1052,11.3,3782.6,1492.5,2290.1,991.6,43.3,4747,,,
117,Oman Margin,19-Aug-87,Colombo,Sri Lanka,18-Oct-87,Port Louis,Mauritius,59.08,4.53,19,35.55,,29.17,5.53,,,,0,0.84,12,25,628,4409,9,7125.5,1277.7,5847.8,4368.4,74.7,4045,,,
118,Southwest Indian Ridge,18-Oct-87,Port Louis,Mauritius,14-Dec-87,Port Louis,Mauritius,56.97,4.21,7.17,45.59,,29.7,5.84,,,,0,10.05,4,20,117,1752,10.5,770.8,0,776.6,447.2,57.6,5219,,,
119,Kerguelen Plateau and Prydz Bay,14-Dec-87,Port Louis,Mauritius,21-Feb-88,Fremantle,Australia,68.9,4.5,27.4,37,,28.94,3.21,,,,1.03,3.86,11,22,427,6861,10.2,4446.1,796.3,3649.8,2102.3,57.6,4093,,,
120,Kerguelen Plateau and Prydz Bay,21-Feb-88,Fremantle,Australia,30-Apr-88,Fremantle,Australia,69.09,5.97,35.13,27.99,,21.17,1.98,,,,1.8,3.03,5,12,255,9206,5,3555.1,1406.5,2148.6,1081.8,50.3,2041,,,
121,Broken Ridge and Ninetyeast Ridge,30-Apr-88,Fremantle,Australia,28-Jun-88,Singapore,Singapore,58.7,5.2,19.3,34.2,,27.2,4.2,,,,0,2.8,7,17,310,5100,11.3,3732.5,1001.2,2731.3,1825.4,66.8,2937,,,
122,Exmouth Plateau,28-Jun-88,Singapore,Singapore,28-Aug-88,Singapore,Singapore,60.98,4.39,13.19,43.4,,30.62,8.93,,,,0,3.85,6,15,445,3756,11.9,5233.2,28,5205.2,2445.7,47,2710,,,
123,Argo Abyssal Plain,28-Aug-88,Singapore,Singapore,1-Nov-88,Singapore,Singapore,65,4.34,13.24,47.42,,32.74,9.66,,,,0,5.02,2,5,189,1485,11.5,3091.2,1298.1,1793.1,1080.2,60.2,5732,,,
124,Celebes and Sulu Seas,1-Nov-88,Singapore,Singapore,4-Jan-89,Manila,Phillipines,63.8,4.1,12.5,47.2,,30.37,9.63,,,,0,7.25,5,13,336,3060,9.8,5228.1,2115.9,3112.2,2122.5,68.2,4916,,,
124E,Philippine Sea - Engineering Tests,4-Jan-89,Manila,Phillipines,16-Feb-89,Apra Harbor,Guam,42.92,4.92,13.58,24.42,,13.85,0.57,,,,0,10,6,15,41,2950,9.8,1723.8,1444.1,279.7,147.1,52.6,5817,,,
125,Izu-Bonin-Mariana Region I,16-Feb-89,Apra Harbor,Guam,18-Apr-89,Tokyo,Japan,61.1,4.3,8.2,48.6,,38.2,6.2,,,,0,4.2,9,15,323,1640,8.4,3540.4,622.8,2917.6,1022.5,35,4912,,,
126,Izu-Bonin-Mariana Region II,18-Apr-89,Tokyo,Japan,19-Jun-89,Tokyo,Japan,61.97,4.38,4.28,53.31,,37.4,6,,,,0,7.14,7,19,500,1919,8.5,6492.5,1790.5,4702,2121.6,45.1,3265,,,
127,Japan Sea I,19-Jun-89,Tokyo,Japan,21-Aug-89,Pusan,South Korea,63,4.4,9.3,49.3,,32,8.6,,,,0,8.7,4,10,317,779,8.5,4798.6,1884.3,2914.3,1658.1,56.9,3311,,,
128,Japan Sea II,21-Aug-89,Pusan,South Korea,20-Nov-89,Apra Harbor,Guam,56.08,5.12,8.05,42.91,,22.34,10.05,,,,0,10.52,3,9,226,1480,10,3720,1654,2066,1574.1,76.2,2818,,,
129,Old Pacific Crust/Pigafetta and Mariana Basins,20-Nov-89,Apra Harbor,Guam,19-Jan-90,Apra Harbor,Guam,59.4,2,11.1,46.3,,33,4.6,,,,0,8.61,3,5,199,2675,10.4,2403.7,695.7,1708,467,27.3,5980,,,
130,Ontong Java Plateau,19-Jan-90,Apra Harbor,Guam,27-Mar-90,Apra Harbor,Guam,66.9,4.2,11.5,51.2,,40.8,5.6,,,,0,4.9,5,16,639,2405,8.7,6877.1,987.8,5889.3,4821.6,81.9,3861.7,,,
131,Nankai Trough,27-Mar-90,Apra Harbor,Guam,1-Jun-90,Pusan,South Korea,67.03,3.85,6.83,56.35,,26.78,14.56,,,,0.77,14.24,1,7,165,1750,11.2,4130.2,2666.9,1463.3,732.1,50,4687,,,
132,Western and Central Pacific,1-Jun-90,Pusan,South Korea,4-Aug-90,Apra Harbor,Guam,63.5,6.1,12.4,45,,14.3,1.4,,,,0,29.3,3,11,52,3252,10.9,316.6,79.6,237,164.7,69.5,4696,,,
133,Northeast Australian Margin,4-Aug-90,Apra Harbor,Guam,11-Oct-90,Townsville,Australia,67.5,4.8,11.8,50.9,,36,10.7,,,,0,4.2,16,36,885,3242,10.8,10890.1,2925.3,7964.8,5507.6,69.1,1650,,,
134,"Vanuatu, New Hebrides",11-Oct-90,Townsville,Australia,17-Dec-90,Suva,Fiji,67,4.4,9.9,52.7,,39.46,8.92,,,,0,4.33,7,16,541,2133,10.8,5640.5,809.2,4831.3,2044.5,42.3,3101,,,
135,Lau Basin,17-Dec-90,Suva,Fiji,28-Feb-91,Honolulu,USA,73,3.7,18.1,51.2,,40.1,7.1,,,,0,4,8,18,409,4065.2,9.4,5012.9,581.4,4431.5,1253.9,28.3,4821,,,
