"Exp","Site","Hole","Latitude_DD","Longitude_DD","Water depth (m)","Penetration DSF (m)","Cored interval (m)","Recovered length (m)","Recovery (%)","Drilled interval (m)","Drilled interval (no.)","Total cores (no.)","APC cores (no.)","HLAPC cores (no.)","XCB cores (no.)","RCB cores (no.)","Other cores (no.)","Date started (UTC)","Date finished (UTC)","Time on hole (days)","Comments","Latitude","Longitude","program"
"1","1","*",25.8583,-92.1833,NA,86.3,77.2,58.7,76.04,9.1,1,9,0,0,0,8,1,"1997-10-23 08:44:00","1997-10-23 08:44:00",0,NA,"25 51.498 N","92 10.998 W","DSDP"
"1","2","*",23.455,-92.58667,NA,26.5,26.5,12.1,45.66,NA,0,5,0,0,0,5,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"23 27.3 N","92 35.2002 W","DSDP"
"1","3","*",23.03,-92.0433,NA,99.2,99.2,46.6,46.98,NA,0,11,0,0,0,11,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"23 1.8 N","92 2.598 W","DSDP"
"1","4","*",24.478,-73.792,NA,36.7,36.7,12.9,35.15,NA,0,4,0,0,0,4,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"24 28.68 N","73 47.52 W","DSDP"
"1","4","A",24.478,-73.792,NA,18.2,18.2,5.7,31.32,NA,0,2,0,0,0,2,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"24 28.68 N","73 47.52 W","DSDP"
"1","5","*",24.7265,-73.641,NA,27.4,27.4,6.4,23.36,NA,0,3,0,0,0,3,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"24 43.59 N","73 38.46 W","DSDP"
"1","5","A",24.7265,-73.641,NA,58.3,58.3,1.9,3.26,NA,0,7,0,0,0,7,0,"1997-10-23 08:45:00","1997-10-23 08:45:00",0,NA,"24 43.59 N","73 38.46 W","DSDP"
"1","6","*",30.8398,-67.6477,NA,46.6,46.6,28.3,60.73,NA,0,6,0,0,0,6,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"30 50.388 N","67 38.862 W","DSDP"
"1","6","A",30.8398,-67.6477,NA,8.9,8.9,8.9,100,NA,0,1,0,0,0,1,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"30 50.388 N","67 38.862 W","DSDP"
"1","7","*",30.134,-68.2967,NA,9.7,9.7,9.7,100,NA,0,2,0,0,0,2,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"30 8.04 N","68 17.802 W","DSDP"
"1","7","A",30.134,-68.2967,NA,19.8,18.3,4.5,24.59,1.5,1,2,0,0,0,2,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"30 8.04 N","68 17.802 W","DSDP"
"2","10","*",32.8622,-52.2153,NA,172.1,163,76.3,46.81,9.1,1,19,0,0,0,19,0,"1997-10-23 08:47:00","1997-10-23 08:47:00",0,NA,"32 51.732 N","52 12.918 W","DSDP"
"2","11","*",29.943,-44.7467,NA,23.2,9.2,6,65.22,14,1,1,0,0,0,1,0,"1997-10-23 08:47:00","1997-10-23 08:47:00",0,NA,"29 56.58 N","44 44.802 W","DSDP"
"2","11","A",29.9433,-44.7467,NA,284.1,52.4,6.6,12.6,231.7,1,8,0,0,0,8,0,"1997-10-23 08:47:00","1997-10-23 08:47:00",0,NA,"29 56.598 N","44 44.802 W","DSDP"
"2","12","B",19.6955,-26.0005,NA,218.51,26.31,2.7,10.26,192.2,4,4,0,0,0,4,0,"1997-10-23 08:47:00","1997-10-23 08:47:00",0,NA,"19 41.73 N","26 .03 W","DSDP"
"2","12","C",19.695,-26,NA,109.7,100.6,29.7,29.52,9.1,1,11,0,0,0,11,0,"1997-10-23 08:47:00","1997-10-23 08:47:00",0,NA,"19 41.7 N","26 0 W","DSDP"
"2","12","D",19.695,-26,NA,57.9,57.9,39.1,67.53,NA,0,6,0,0,0,5,1,"1997-10-23 08:48:00","1997-10-23 08:48:00",0,NA,"19 41.7 N","26 0 W","DSDP"
"2","8","*",35.3833,-67.5533,NA,186.3,18.4,4.7,25.54,167.9,1,2,0,0,0,2,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"35 22.998 N","67 33.198 W","DSDP"
"2","8","A",35.3833,-67.5533,NA,619.5,341.2,3.2,0.94,278.3,1,5,0,0,0,4,1,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"35 22.998 N","67 33.198 W","DSDP"
"2","9","*",32.7733,-59.195,NA,101.3,101.3,36,35.54,NA,0,12,0,0,0,12,0,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"32 46.398 N","59 11.7 W","DSDP"
"2","9","A",32.7733,-59.195,NA,710.5,710.5,11.4,1.6,NA,0,7,0,0,0,6,1,"1997-10-23 08:46:00","1997-10-23 08:46:00",0,NA,"32 46.398 N","59 11.7 W","DSDP"
"3","13","*",6.04,-18.2285,NA,145,27,26.5,98.15,118,2,3,0,0,0,3,0,"1997-10-23 08:48:00","1997-10-23 08:48:00",0,NA,"6 2.4 N","18 13.71 W","DSDP"
"3","13","A",6.04,-18.2285,NA,443,34,11.3,33.24,409,8,7,0,0,0,7,0,"1997-10-23 08:48:00","1997-10-23 08:48:00",0,NA,"6 2.4 N","18 13.71 W","DSDP"
"3","14","*",-28.3315,-20.941,NA,108,83,76.1,91.69,25,3,10,0,0,0,10,0,"1997-10-23 08:48:00","1997-10-23 08:48:00",0,NA,"28 19.89 S","20 56.46 W","DSDP"
"3","15","*",-30.8897,-17.9832,NA,142.7,82.7,71.2,86.09,60,5,10,0,0,0,10,0,"1997-10-23 08:48:00","1997-10-23 08:48:00",0,NA,"30 53.382 S","17 58.992 W","DSDP"
"3","16","*",-30.3358,-15.7132,NA,159.3,101.3,99.1,97.83,58,5,13,0,0,0,12,1,"1997-10-23 08:49:00","1997-10-23 08:49:00",0,NA,"30 20.148 S","15 42.792 W","DSDP"
"3","17","*",-28.0457,-6.6025,NA,92.7,36.7,36.01,98.12,56,4,5,0,0,0,5,0,"1997-10-23 08:49:00","1997-10-23 08:49:00",0,NA,"28 2.742 S","6 36.15 W","DSDP"
"3","17","A",-28.0457,-6.6025,NA,102.5,35.4,34.9,98.59,67.1,2,4,0,0,0,4,0,"1997-10-23 08:50:00","1997-10-23 08:50:00",0,NA,"28 2.742 S","6 36.15 W","DSDP"
"3","17","B",-28.0457,-6.6025,NA,126.5,39.9,35.5,88.97,86.6,1,5,0,0,0,5,0,"1997-10-23 08:50:00","1997-10-23 08:50:00",0,NA,"28 2.742 S","6 36.15 W","DSDP"
"3","18","*",-27.9787,-8.0117,NA,176.1,53.7,52.4,97.58,122.4,2,7,0,0,0,7,0,"1997-10-23 08:50:00","1997-10-23 08:50:00",0,NA,"27 58.722 S","8 .702 W","DSDP"
